sample_id,src_info,archive,scene_path,target_type,target_id,radius,match_count_for_sample,target_found,target_class_name,target_first_ts,target_last_ts,target_length,target_duration,n_interacting_tracks,n_vru_interactions,n_vehicle_interactions,strongest_other_type,strongest_other_id,strongest_min_dist,strongest_close_frames,status
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,vrus,000,5.0,1,1,person,1679472907040035,1679472995040035,2201,88.08,13,2,11,vrus,003,1.001904,174,ok
0001,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,vrus,002,5.0,1,1,person,1679472907040035,1679472944840035,946,37.88,10,1,9,vrus,001,0.902457,207,ok
0002,20230322_081506/003,imptc_set_01.tar.gz,0000_20230322_081506,vrus,003,5.0,1,1,person,1679472919640035,1679472940280035,517,20.72,2,1,1,vrus,000,1.001904,174,ok
0003,20230322_081506/004,imptc_set_01.tar.gz,0000_20230322_081506,vrus,004,5.0,1,1,bicycle,1679472983800035,1679472994920035,279,11.2,1,0,1,vehicles,1049,4.408883,36,ok
0004,20230322_083454/000,imptc_set_01.tar.gz,0001_20230322_083454,vrus,000,5.0,1,1,person,1679474094960035,1679474162040035,1678,67.16,18,10,8,vrus,001,1.721616,1605,ok
0005,20230322_083454/001,imptc_set_01.tar.gz,0001_20230322_083454,vrus,001,5.0,1,1,person,1679474094960035,1679474159120035,1605,64.24,17,9,8,vrus,000,1.721616,1605,ok
0006,20230322_083454/002,imptc_set_01.tar.gz,0001_20230322_083454,vrus,002,5.0,1,1,person,1679474108480035,1679474171640035,1580,63.24,10,8,2,vrus,000,1.190896,725,ok
0007,20230322_083454/003,imptc_set_01.tar.gz,0001_20230322_083454,vrus,003,5.0,1,1,person,1679474109080035,1679474165200035,1404,56.2,14,9,5,vrus,000,1.695189,1093,ok
0008,20230322_083454/004,imptc_set_01.tar.gz,0001_20230322_083454,vrus,004,5.0,1,1,person,1679474119600035,1679474171640035,1302,52.12,8,7,1,vrus,009,2.202384,403,ok
0009,20230322_083454/005,imptc_set_01.tar.gz,0001_20230322_083454,vrus,005,5.0,1,1,person,1679474121560035,1679474158880035,934,37.4,9,7,2,vrus,002,0.048349,459,ok
0010,20230322_083454/006,imptc_set_01.tar.gz,0001_20230322_083454,vrus,006,5.0,1,1,person,1679474094960035,1679474124880035,749,30.0,3,1,2,vrus,012,1.275858,77,ok
0011,20230322_083454/007,imptc_set_01.tar.gz,0001_20230322_083454,vrus,007,5.0,1,1,person,1679474137160035,1679474166680035,739,29.6,5,4,1,vrus,002,4.52869,171,ok
0012,20230322_083454/008,imptc_set_01.tar.gz,0001_20230322_083454,vrus,008,5.0,1,1,scooter,1679474104200035,1679474133200035,726,29.08,9,7,2,vrus,000,0.817109,502,ok
0013,20230322_083454/009,imptc_set_01.tar.gz,0001_20230322_083454,vrus,009,5.0,1,1,person,1679474145320035,1679474171640035,659,26.4,5,4,1,vrus,004,2.202384,403,ok
0014,20230322_083454/010,imptc_set_01.tar.gz,0001_20230322_083454,vrus,010,5.0,1,1,person,1679474094960035,1679474121240035,658,26.36,5,4,1,vrus,008,1.075951,270,ok
0015,20230322_083454/011,imptc_set_01.tar.gz,0001_20230322_083454,vrus,011,5.0,1,1,person,1679474094960035,1679474115400035,512,20.52,4,1,3,vrus,012,1.752149,84,ok
0016,20230322_083454/012,imptc_set_01.tar.gz,0001_20230322_083454,vrus,012,5.0,1,1,person,1679474101680035,1679474116800035,379,15.2,3,2,1,vrus,011,1.752149,84,ok
0017,20230322_083454/013,imptc_set_01.tar.gz,0001_20230322_083454,vrus,013,5.0,1,1,person,1679474121280035,1679474135120035,347,13.92,9,7,2,vrus,000,0.793125,347,ok
0018,20230322_083454/015,imptc_set_01.tar.gz,0001_20230322_083454,vrus,015,5.0,1,1,motorcycle,1679474127360035,1679474131440035,103,4.16,4,4,0,vrus,003,3.829047,13,ok
0019,20230322_083625/000,imptc_set_01.tar.gz,0002_20230322_083625,vrus,000,5.0,1,1,person,1679474185520035,1679474245960035,1512,60.52,16,3,13,vrus,003,1.684258,652,ok
0020,20230322_083625/001,imptc_set_01.tar.gz,0002_20230322_083625,vrus,001,5.0,1,1,person,1679474185520035,1679474226600035,1028,41.16,11,4,7,vrus,000,1.07735,192,ok
0021,20230322_083625/003,imptc_set_01.tar.gz,0002_20230322_083625,vrus,003,5.0,1,1,person,1679474207920035,1679474245960035,952,38.12,5,1,4,vrus,000,1.684258,652,ok
0022,20230322_083625/004,imptc_set_01.tar.gz,0002_20230322_083625,vrus,004,5.0,1,1,person,1679474219880035,1679474245960035,653,26.16,1,1,0,vrus,005,0.270513,604,ok
0023,20230322_083625/005,imptc_set_01.tar.gz,0002_20230322_083625,vrus,005,5.0,1,1,person,1679474221840035,1679474245960035,604,24.2,1,1,0,vrus,004,0.270513,604,ok
0024,20230322_083625/006,imptc_set_01.tar.gz,0002_20230322_083625,vrus,006,5.0,1,1,person,1679474185520035,1679474197200035,293,11.76,4,3,1,vrus,007,2.567137,253,ok
0025,20230322_083625/007,imptc_set_01.tar.gz,0002_20230322_083625,vrus,007,5.0,1,1,bicycle,1679474185520035,1679474195600035,253,10.16,4,3,1,vrus,006,2.567137,253,ok
0026,20230322_083935/000,imptc_set_01.tar.gz,0003_20230322_083935,vrus,000,5.0,1,1,person,1679474376120035,1679474435840035,1494,59.8,14,4,10,vrus,002,3.392613,229,ok
0027,20230322_083935/002,imptc_set_01.tar.gz,0003_20230322_083935,vrus,002,5.0,1,1,person,1679474408320035,1679474434560035,657,26.32,5,4,1,vrus,005,0.952282,291,ok
0028,20230322_083935/003,imptc_set_01.tar.gz,0003_20230322_083935,vrus,003,5.0,1,1,person,1679474413600035,1679474436080035,563,22.56,5,1,4,vrus,001,0.319086,563,ok
0029,20230322_083935/004,imptc_set_01.tar.gz,0003_20230322_083935,vrus,004,5.0,1,1,person,1679474416680035,1679474436080035,486,19.48,5,3,2,vehicles,1037,3.745849,153,ok
0030,20230322_083935/007,imptc_set_01.tar.gz,0003_20230322_083935,vrus,007,5.0,1,1,person,1679474421000035,1679474431160035,255,10.24,4,2,2,vehicles,1035,1.261546,251,ok
0031,20230322_084251/000,imptc_set_01.tar.gz,0004_20230322_084251,vrus,000,5.0,1,1,person,1679474571600035,1679474621640035,1252,50.12,6,5,1,vrus,004,1.108514,658,ok
0032,20230322_084251/001,imptc_set_01.tar.gz,0004_20230322_084251,vrus,001,5.0,1,1,person,1679474571600035,1679474618880035,1183,47.36,12,6,6,vrus,004,1.185567,77,ok
0033,20230322_084251/002,imptc_set_01.tar.gz,0004_20230322_084251,vrus,002,5.0,1,1,person,1679474571600035,1679474617320035,1144,45.8,6,5,1,vrus,004,2.729063,1070,ok
0034,20230322_084251/003,imptc_set_01.tar.gz,0004_20230322_084251,vrus,003,5.0,1,1,person,1679474571600035,1679474616160035,1115,44.64,5,5,0,vrus,004,2.908936,1072,ok
0035,20230322_084251/004,imptc_set_01.tar.gz,0004_20230322_084251,vrus,004,5.0,1,1,person,1679474571600035,1679474614440035,1072,42.92,6,5,1,vrus,003,2.908936,1072,ok
0036,20230322_084251/005,imptc_set_01.tar.gz,0004_20230322_084251,vrus,005,5.0,1,1,person,1679474571760035,1679474609880035,954,38.2,6,5,1,vrus,002,0.382563,954,ok
0037,20230322_084251/006,imptc_set_01.tar.gz,0004_20230322_084251,vrus,006,5.0,1,1,person,1679474612880035,1679474621640035,220,8.84,1,0,1,vehicles,1030,3.313818,117,ok
0038,20230322_084251/007,imptc_set_01.tar.gz,0004_20230322_084251,vrus,007,5.0,1,1,motorcycle,1679474571600035,1679474577480035,148,5.96,1,1,0,vrus,001,2.304741,35,ok
0039,20230322_084431/000,imptc_set_01.tar.gz,0005_20230322_084431,vrus,000,5.0,1,1,person,1679474671440035,1679474708000035,915,36.64,10,4,6,vrus,001,1.194488,873,ok
0040,20230322_084431/001,imptc_set_01.tar.gz,0005_20230322_084431,vrus,001,5.0,1,1,person,1679474671440035,1679474706320035,873,34.96,8,4,4,vrus,000,1.194488,873,ok
0041,20230322_084431/002,imptc_set_01.tar.gz,0005_20230322_084431,vrus,002,5.0,1,1,person,1679474671440035,1679474702560035,779,31.2,6,3,3,vrus,001,1.63906,779,ok
0042,20230322_084431/004,imptc_set_01.tar.gz,0005_20230322_084431,vrus,004,5.0,1,1,person,1679474681360035,1679474708000035,667,26.72,2,0,2,vehicles,1020,4.296472,60,ok
0043,20230322_084431/005,imptc_set_01.tar.gz,0005_20230322_084431,vrus,005,5.0,1,1,person,1679474672680035,1679474693640035,525,21.04,0,0,0,,,,,ok
0044,20230322_084431/006,imptc_set_01.tar.gz,0005_20230322_084431,vrus,006,5.0,1,1,person,1679474685080035,1679474701560035,413,16.56,6,4,2,vrus,000,0.640174,413,ok
0045,20230322_113007/000,imptc_set_01.tar.gz,0006_20230322_113007,vrus,000,5.0,1,1,person,1679484607920035,1679484680040035,1804,72.2,16,9,7,vrus,004,0.269884,1140,ok
0046,20230322_113007/001,imptc_set_01.tar.gz,0006_20230322_113007,vrus,001,5.0,1,1,person,1679484624920035,1679484680440035,1389,55.6,10,7,3,vrus,000,0.216691,1092,ok
0047,20230322_113007/002,imptc_set_01.tar.gz,0006_20230322_113007,vrus,002,5.0,1,1,person,1679484621880035,1679484676280035,1361,54.48,13,8,5,vrus,003,0.442515,1140,ok
0048,20230322_113007/003,imptc_set_01.tar.gz,0006_20230322_113007,vrus,003,5.0,1,1,person,1679484630720035,1679484680120035,1236,49.48,12,8,4,vrus,002,0.442515,1140,ok
0049,20230322_113007/004,imptc_set_01.tar.gz,0006_20230322_113007,vrus,004,5.0,1,1,person,1679484633400035,1679484680440035,1177,47.12,7,7,0,vrus,000,0.269884,1140,ok
0050,20230322_113007/005,imptc_set_01.tar.gz,0006_20230322_113007,vrus,005,5.0,1,1,person,1679484650280035,1679484680440035,755,30.24,7,7,0,vrus,001,1.316396,664,ok
0051,20230322_113007/006,imptc_set_01.tar.gz,0006_20230322_113007,vrus,006,5.0,1,1,person,1679484607800035,1679484632600035,621,24.88,4,0,4,vehicles,1035,3.860982,85,ok
0052,20230322_113007/007,imptc_set_01.tar.gz,0006_20230322_113007,vrus,007,5.0,1,1,person,1679484660640035,1679484680440035,496,19.88,3,2,1,vrus,003,1.576026,73,ok
0053,20230322_113007/009,imptc_set_01.tar.gz,0006_20230322_113007,vrus,009,5.0,1,1,person,1679484607800035,1679484621520035,344,13.8,4,1,3,vrus,000,0.312875,341,ok
0054,20230322_113007/010,imptc_set_01.tar.gz,0006_20230322_113007,vrus,010,5.0,1,1,person,1679484635560035,1679484647840035,308,12.36,0,0,0,,,,,ok
0055,20230322_113007/011,imptc_set_01.tar.gz,0006_20230322_113007,vrus,011,5.0,1,1,person,1679484663760035,1679484675640035,298,11.96,7,7,0,vrus,000,0.262489,298,ok
0056,20230322_113007/012,imptc_set_01.tar.gz,0006_20230322_113007,vrus,012,5.0,1,1,motorcycle,1679484622560035,1679484626760035,106,4.28,1,1,0,vrus,000,3.746301,16,ok
0057,20230322_114343/000,imptc_set_01.tar.gz,0007_20230322_114343,vrus,000,5.0,1,1,person,1679485434080035,1679485496960035,1573,62.96,11,4,7,vrus,001,1.726575,893,ok
0058,20230322_114343/001,imptc_set_01.tar.gz,0007_20230322_114343,vrus,001,5.0,1,1,person,1679485445600035,1679485496960035,1285,51.44,7,4,3,vrus,000,1.726575,893,ok
0059,20230322_114343/003,imptc_set_01.tar.gz,0007_20230322_114343,vrus,003,5.0,1,1,person,1679485456160035,1679485494760035,966,38.68,6,4,2,vrus,001,1.219911,764,ok
0060,20230322_114343/004,imptc_set_01.tar.gz,0007_20230322_114343,vrus,004,5.0,1,1,person,1679485424000035,1679485448960035,625,25.04,5,0,5,vehicles,1012,4.0259,22,ok
0061,20230322_114343/005,imptc_set_01.tar.gz,0007_20230322_114343,vrus,005,5.0,1,1,person,1679485474360035,1679485496960035,566,22.68,5,4,1,vrus,006,0.075495,358,ok
0062,20230322_114343/006,imptc_set_01.tar.gz,0007_20230322_114343,vrus,006,5.0,1,1,person,1679485474400035,1679485496960035,565,22.64,5,4,1,vrus,005,0.075495,358,ok
0063,20230322_114343/007,imptc_set_01.tar.gz,0007_20230322_114343,vrus,007,5.0,1,1,motorcycle,1679485430240035,1679485433720035,88,3.56,1,0,1,vehicles,1031,3.436776,30,ok
0064,20230322_114623/000,imptc_set_01.tar.gz,0008_20230322_114623,vrus,000,5.0,1,1,person,1679485583600035,1679485716560035,3325,133.04,20,7,13,vrus,001,0.0,3236,ok
0065,20230322_114623/002,imptc_set_01.tar.gz,0008_20230322_114623,vrus,002,5.0,1,1,person,1679485602120035,1679485690480035,2210,88.44,14,4,10,vrus,003,1.243557,1238,ok
