sample_id,scene_path,archive,timestamp,target_id,target_class_name,nearest_type,nearest_class,nearest_dist,n_neighbors_found,displacement,avg_speed_est,light_status,matched_signal_ts,signal_count,signal_states_json
0000,0000_20230322_081506,imptc_set_01.tar.gz,1679472951040035,000,person,vehicles,car,16.979787,4,0.355688,0.071138,ok,1679472951160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}"
0001,0000_20230322_081506,imptc_set_01.tar.gz,1679472925960035,002,person,vrus,scooter,0.929277,13,6.203458,1.240692,ok,1679472926160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}"
0002,0000_20230322_081506,imptc_set_01.tar.gz,1679472929960035,003,person,vrus,person,6.515365,15,7.927906,1.585581,ok,1679472930160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}"
0004,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,000,person,vrus,person,0.804954,12,0.01077,0.002154,ok,1679474128160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 4, ""k6"": 10}"
0005,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,001,person,vrus,person,1.904971,12,0.039743,0.007949,ok,1679474127160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 4, ""k6"": 10}"
0006,0001_20230322_083454,imptc_set_01.tar.gz,1679474140080035,002,person,vrus,person,1.633077,12,0.183452,0.03669,ok,1679474140200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 10, ""k5"": 10, ""k6"": 10}"
0007,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,003,person,vrus,person,1.980843,12,0.005511,0.001102,ok,1679474137160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 20, ""k5"": 20, ""k6"": 10}"
0008,0001_20230322_083454,imptc_set_01.tar.gz,1679474145640035,004,person,vehicles,car,10.994973,12,7.994217,1.598843,ok,1679474145160035,12,"{""b1"": 11, ""b3"": 2, ""b4"": 11, ""f1"": 10, ""f2"": 4, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 4, ""k4"": 10, ""k5"": 10, ""k6"": 4}"
0009,0001_20230322_083454,imptc_set_01.tar.gz,1679474140240035,005,person,vrus,person,2.857554,12,5.659845,1.131969,ok,1679474140200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 10, ""k5"": 10, ""k6"": 10}"
0010,0001_20230322_083454,imptc_set_01.tar.gz,1679474109920035,006,person,vehicles,car,7.816562,13,6.769145,1.353829,ok,1679474110200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}"
