sample_id,nearest_type,nearest_class,nearest_dist,n_neighbors_found,displacement,avg_speed_est,status_moment,status_future
0000,vehicles,car,16.979787,4,0.355688,0.071138,ok,ok
0001,vrus,scooter,0.929277,13,6.203458,1.240692,ok,ok
0002,vrus,person,6.515365,15,7.927906,1.585581,ok,ok
0004,vrus,person,0.804954,12,0.01077,0.002154,ok,ok
0005,vrus,person,1.904971,12,0.039743,0.007949,ok,ok
0006,vrus,person,1.633077,12,0.183452,0.03669,ok,ok
0007,vrus,person,1.980843,12,0.005511,0.001102,ok,ok
0008,vehicles,car,10.994973,12,7.994217,1.598843,ok,ok
0009,vrus,person,2.857554,12,5.659845,1.131969,ok,ok
0010,vehicles,car,7.816562,13,6.769145,1.353829,ok,ok
0011,vrus,person,4.275329,15,8.961718,1.792344,ok,ok
0013,vrus,person,1.278461,15,0.333905,0.066781,ok,ok
0014,vrus,scooter,6.154863,14,6.468309,1.293662,ok,ok
0015,vehicles,car,10.528572,14,6.929458,1.385892,ok,ok
0016,vrus,person,4.239259,13,7.238389,1.447678,ok,ok
0017,vrus,person,0.79994,12,0.064609,0.012922,ok,ok
0019,vrus,person,4.034089,6,0.091332,0.018266,ok,ok
0020,vrus,person,1.850334,8,6.26553,1.253106,ok,ok
0021,vrus,person,1.908922,12,0.086305,0.017261,ok,ok
0022,vrus,person,0.422377,12,6.945299,1.38906,ok,ok
0023,vrus,person,0.811677,13,7.335553,1.467111,ok,ok
0024,vrus,bicycle,2.780221,15,6.462759,1.292552,ok,ok
0026,vehicles,car,8.030715,12,0.060784,0.012157,ok,ok
0027,vrus,person,5.680807,15,8.486702,1.69734,ok,ok
0028,vrus,person,0.39298,15,0.038352,0.00767,ok,ok
0029,vrus,person,3.712814,15,8.980081,1.796016,ok,ok
0030,vehicles,car,2.176507,15,1.547494,0.309499,ok,ok
0031,vrus,person,3.583051,11,5.418962,1.083792,ok,ok
0032,vehicles,car,11.475622,11,6.951703,1.390341,ok,ok
0033,vrus,person,1.136747,11,8.833608,1.766722,ok,ok
0034,vrus,person,2.734697,11,6.126305,1.225261,ok,ok
0035,vrus,person,1.397987,11,4.637678,0.927536,ok,ok
0036,vrus,person,0.792991,12,2.777408,0.555482,ok,ok
0037,vehicles,car,4.382251,9,7.099184,1.628253,ok,ok
0039,vrus,person,0.696487,9,7.262997,1.452599,ok,ok
0040,vrus,person,2.2912,9,7.099098,1.41982,ok,ok
0041,vrus,person,1.927408,9,7.801292,1.560258,ok,ok
0042,vehicles,car,7.512016,9,0.044233,0.008847,ok,ok
0043,vehicles,car,17.948258,9,8.161236,1.632247,ok,ok
0044,vrus,person,0.872985,9,6.731641,1.346328,ok,ok
0045,vrus,person,0.370858,8,0.071908,0.014382,ok,ok
0046,vrus,person,0.217141,8,0.039184,0.007837,ok,ok
0047,vrus,person,1.168327,7,0.019998,0.004,ok,ok
0048,vrus,person,1.146583,8,0.157595,0.031519,ok,ok
0049,vrus,person,1.768858,8,4.984035,0.996807,ok,ok
0050,vrus,person,1.082321,14,7.472401,1.49448,ok,ok
0051,vehicles,car,6.305907,12,7.58376,1.516752,ok,ok
0052,vrus,person,4.765566,15,7.367272,1.473454,ok,ok
0053,vrus,person,0.539958,11,0.431541,0.086308,ok,ok
0054,vehicles,car,18.557969,9,7.550964,1.510193,ok,ok
0055,vrus,person,0.62484,15,7.750787,1.550157,ok,ok
0057,vrus,person,2.030014,7,0.287962,0.057592,ok,ok
0058,vrus,person,1.293105,7,0.406424,0.081285,ok,ok
0059,vrus,person,1.682359,11,5.518256,1.103651,ok,ok
0060,vehicles,car,18.326661,9,6.855468,1.371094,ok,ok
0061,vrus,person,0.558298,12,7.841265,1.568253,ok,ok
0062,vrus,person,0.558298,12,5.803738,1.160748,ok,ok
0064,vrus,person,1.259649,11,0.234216,0.046843,ok,ok
0065,vrus,person,1.440345,10,0.036528,0.007306,ok,ok
0066,vrus,person,1.406567,8,5.516646,1.103329,ok,ok
0067,vrus,person,6.713004,15,3.864903,0.772981,ok,ok
0068,vrus,person,2.446307,9,2.692798,0.53856,ok,ok
0069,vehicles,car,6.946811,14,6.724058,1.344812,ok,ok
0070,vehicles,car,7.532039,15,6.964283,1.392857,ok,ok
0071,vehicles,car,11.989407,11,0.865035,0.173007,ok,ok
0072,vrus,person,0.904684,15,5.466795,1.093359,ok,ok
0073,vrus,person,13.013324,11,7.651909,1.530382,ok,ok
0074,vehicles,car,15.549379,7,8.715016,1.743003,ok,ok
0075,vrus,person,0.831708,10,7.299573,1.533524,ok,ok
0076,vehicles,car,13.198756,5,0.034194,0.006839,ok,ok
0077,vehicles,car,11.88075,2,0.229194,0.045839,ok,ok
0079,vehicles,car,6.063098,4,0.815621,0.163124,ok,ok
0080,vehicles,car,10.235831,11,6.497046,1.56179,ok,ok
0082,vrus,bicycle,3.896666,5,1.15754,0.231508,ok,ok
0083,vehicles,car,6.689988,6,7.434145,1.486829,ok,ok
0085,vrus,person,0.766005,7,6.629923,1.325985,ok,ok
0086,vrus,person,0.783992,7,7.031744,1.406349,ok,ok
0087,vrus,person,1.299005,7,6.657083,1.331417,ok,ok
0089,vehicles,car,12.447175,6,0.009491,0.001898,ok,ok
0090,vehicles,car,9.085932,8,0.006715,0.001343,ok,ok
0091,vrus,person,0.644273,8,4.644126,0.928825,ok,ok
0092,vrus,bicycle,13.772992,8,0.042753,0.008551,ok,ok
0093,vrus,person,5.492598,9,6.547996,1.309599,ok,ok
0094,vrus,person,0.587977,10,7.325707,1.465141,ok,ok
0096,vrus,person,0.281822,9,4.54705,0.90941,ok,ok
0099,vrus,person,0.539123,9,6.743101,1.546583,ok,ok
0100,vehicles,car,8.017803,9,0.062038,0.012408,ok,ok
0101,vrus,person,1.614079,9,0.146905,0.029381,ok,ok
0102,vrus,person,1.179681,8,3.707291,0.741458,ok,ok
0104,vrus,person,2.111936,14,7.636247,1.527249,ok,ok
0105,vrus,bicycle,0.727024,10,3.600449,0.72009,ok,ok
0106,vrus,person,0.707994,15,3.11371,0.622742,ok,ok
0107,vrus,person,0.217831,12,6.557478,1.311496,ok,ok
0109,vrus,person,0.371345,12,0.042266,0.008453,ok,ok
0110,vehicles,car,16.166198,8,7.074741,1.414948,ok,ok
0111,vrus,person,0.578034,8,6.312627,1.262525,ok,ok
0112,vehicles,car,10.523214,8,6.567281,1.313456,ok,ok
0113,vehicles,car,10.849195,8,0.198954,0.039791,ok,ok
0114,vehicles,car,9.851299,7,7.545703,1.509141,ok,ok
0115,vehicles,car,8.035767,15,7.511613,1.502323,ok,ok
0116,vehicles,car,5.363889,15,8.030376,1.606075,ok,ok
0118,vehicles,car,12.284529,8,0.715564,0.143113,ok,ok
0119,vrus,person,4.456637,8,0.053105,0.010621,ok,ok
0120,vehicles,car,8.384024,8,0.106114,0.021223,ok,ok
0121,vehicles,car,9.236698,10,5.454492,1.090898,ok,ok
0122,vrus,person,1.687338,12,0.205589,0.041118,ok,ok
0123,vrus,person,2.327458,12,0.001324,0.000265,ok,ok
0124,vehicles,car,8.957588,12,0.032381,0.006476,ok,ok
0125,vrus,person,0.786652,12,0.103201,0.02064,ok,ok
0126,vrus,person,1.670565,11,0.329737,0.065947,ok,ok
0127,vrus,person,1.4348,14,3.491142,0.698228,ok,ok
0128,vrus,person,0.812057,15,0.155876,0.031175,ok,ok
0129,vehicles,car,10.371311,15,5.548182,1.109636,ok,ok
0130,vrus,person,1.154182,14,8.742712,1.748542,ok,ok
0131,vrus,person,1.599609,15,7.283801,1.45676,ok,ok
0132,vrus,person,0.448214,15,0.016313,0.003263,ok,ok
0133,vrus,person,3.416975,15,6.490517,1.298103,ok,ok
0134,vrus,person,0.044731,15,6.006628,1.201326,ok,ok
0135,vehicles,car,12.22673,15,6.803011,1.360602,ok,ok
0136,vrus,person,1.072653,15,0.001015,0.000203,ok,ok
0137,vrus,person,1.170691,15,0.031473,0.006295,ok,ok
0138,vrus,person,1.165975,15,0.154502,0.0309,ok,ok
0139,vehicles,car,6.876774,15,0.033779,0.006756,ok,ok
0140,vrus,person,1.679178,15,0.08196,0.016392,ok,ok
0141,vrus,person,0.214705,15,5.804732,1.160946,ok,ok
0142,vrus,person,1.541154,15,7.397501,1.4795,ok,ok
0143,vrus,person,1.115949,15,0.047382,0.009476,ok,ok
0144,vrus,person,1.20249,15,6.385645,1.277129,ok,ok
0145,vrus,person,2.844793,15,2.711088,0.542218,ok,ok
0146,vehicles,car,7.797388,15,7.102159,1.420432,ok,ok
0147,vrus,person,0.233781,15,0.705902,0.14118,ok,ok
0148,vrus,person,7.724017,14,5.681825,1.136365,ok,ok
