sample_id,scene_path,archive,target_type,target_id,target_class_name,moment_mode,timestamp,target_x,target_y,target_z,target_velocity,n_neighbors_found,nearest_type,nearest_id,nearest_class,nearest_dist,status
0000,0000_20230322_081506,imptc_set_01.tar.gz,vrus,000,person,middle,1679472951040035,-1.901631279433268,2.0528477156764997,1.7845384020407358,1.291396273700507,4,vehicles,1056,car,16.979787,ok
0001,0000_20230322_081506,imptc_set_01.tar.gz,vrus,002,person,middle,1679472925960035,10.348255154855023,15.950742274608874,1.7037273427685382,4.5468716066243795,13,vrus,001,scooter,0.929277,ok
0002,0000_20230322_081506,imptc_set_01.tar.gz,vrus,003,person,middle,1679472929960035,-3.752289794931896,-4.270228318442506,1.7901220564242681,6.061612713283345,15,vrus,000,person,6.515365,ok
0004,0001_20230322_083454,imptc_set_01.tar.gz,vrus,000,person,middle,1679474128520035,-1.7604826595645504,1.0008987428887337,1.6251585857575201,0.057949733594498065,12,vrus,013,person,0.804954,ok
0005,0001_20230322_083454,imptc_set_01.tar.gz,vrus,001,person,middle,1679474127040035,-2.603696671906863,2.6996829826716424,1.700201810506519,0.061103527841035336,12,vrus,000,person,1.904971,ok
0006,0001_20230322_083454,imptc_set_01.tar.gz,vrus,002,person,middle,1679474140080035,-1.9463365027705006,-0.5989755061973071,1.6490573543003815,0.034495737401616176,12,vrus,000,person,1.633077,ok
0007,0001_20230322_083454,imptc_set_01.tar.gz,vrus,003,person,middle,1679474137160035,0.021173428094689483,0.49350141201468234,1.795252117079558,0.07495643354027762,12,vrus,000,person,1.980843,ok
0008,0001_20230322_083454,imptc_set_01.tar.gz,vrus,004,person,middle,1679474145640035,9.32455469941376,15.696147576948283,1.68432959619547,4.025344130129231,12,vehicles,1031,car,10.994973,ok
0009,0001_20230322_083454,imptc_set_01.tar.gz,vrus,005,person,middle,1679474140240035,-5.269199914256276,3.6279382121176766,1.7476479384147359,3.9859389700935353,12,vrus,001,person,2.857554,ok
0010,0001_20230322_083454,imptc_set_01.tar.gz,vrus,006,person,middle,1679474109920035,10.002740836270926,16.75825519748047,1.7046993203147571,4.569250697793216,13,vehicles,1003,car,7.816562,ok
0011,0001_20230322_083454,imptc_set_01.tar.gz,vrus,007,person,middle,1679474151920035,1.6366879302674695,3.810689369418244,1.7706848904881327,6.478549678839623,15,vrus,004,person,4.275329,ok
0013,0001_20230322_083454,imptc_set_01.tar.gz,vrus,009,person,middle,1679474158480035,0.1819055920960484,-4.287235025597055,1.7175226471565082,1.8440456387049493,15,vrus,014,person,1.278461,ok
0014,0001_20230322_083454,imptc_set_01.tar.gz,vrus,010,person,middle,1679474108120035,4.301936831704124,-5.6962005284594515,1.6744250769831501,5.1125121351463445,14,vrus,008,scooter,6.154863,ok
0015,0001_20230322_083454,imptc_set_01.tar.gz,vrus,011,person,middle,1679474105200035,4.166569132633388,20.75035769333631,1.689417423394835,5.309771227602821,14,vehicles,1037,car,10.528572,ok
0016,0001_20230322_083454,imptc_set_01.tar.gz,vrus,012,person,middle,1679474109240035,-1.7453277438825567,28.26410051910709,1.4992555710146183,4.505657806152469,13,vrus,011,person,4.239259,ok
0017,0001_20230322_083454,imptc_set_01.tar.gz,vrus,013,person,middle,1679474128200035,-1.1425997732535715,0.48652999488658455,1.9415468256984811,0.05443316436745776,12,vrus,000,person,0.79994,ok
0019,0002_20230322_083625,imptc_set_01.tar.gz,vrus,000,person,middle,1679474215760035,-2.0079697400915553,1.879740428382892,1.6520554418064042,0.04209028756908067,6,vrus,002,person,4.034089,ok
0020,0002_20230322_083625,imptc_set_01.tar.gz,vrus,001,person,middle,1679474206080035,-1.869572932236803,0.08766304238367523,1.7570431465407377,4.494971666655432,8,vrus,000,person,1.850334,ok
0021,0002_20230322_083625,imptc_set_01.tar.gz,vrus,003,person,middle,1679474226960035,-0.3562911091230154,1.1595604807575524,1.691530867128099,0.24099853001606183,12,vrus,000,person,1.908922,ok
0022,0002_20230322_083625,imptc_set_01.tar.gz,vrus,004,person,middle,1679474232920035,-6.521232645048806,-7.8999917257549335,1.5615829792741858,4.627598589981232,12,vrus,005,person,0.422377,ok
0023,0002_20230322_083625,imptc_set_01.tar.gz,vrus,005,person,middle,1679474233920035,-6.350584965593564,-6.805322580674105,1.4651849323037942,3.06962360496201,13,vrus,004,person,0.811677,ok
0024,0002_20230322_083625,imptc_set_01.tar.gz,vrus,006,person,middle,1679474191360035,9.75978829751953,-9.667696947478671,1.6524668124467206,5.087536985045109,15,vrus,007,bicycle,2.780221,ok
0026,0003_20230322_083935,imptc_set_01.tar.gz,vrus,000,person,middle,1679474406000035,-1.837948942280195,1.9563247775765487,1.7620610245381698,0.47735954422937876,12,vehicles,1010,car,8.030715,ok
0027,0003_20230322_083935,imptc_set_01.tar.gz,vrus,002,person,middle,1679474421440035,2.0245347123785113,5.694636098158885,1.6590280360118446,6.151867525190298,15,vrus,000,person,5.680807,ok
0028,0003_20230322_083935,imptc_set_01.tar.gz,vrus,003,person,middle,1679474424840035,10.075792332714402,-10.476671495214108,1.926922820392857,0.10289918565958069,15,vrus,001,person,0.39298,ok
0029,0003_20230322_083935,imptc_set_01.tar.gz,vrus,004,person,middle,1679474426400035,6.558072429651857,8.160094260833228,1.7033021188135575,6.480710042596486,15,vrus,005,person,3.712814,ok
0030,0003_20230322_083935,imptc_set_01.tar.gz,vrus,007,person,middle,1679474426080035,19.8785684655236,15.682279315663227,1.6257830926220147,0.34421669614088646,15,vehicles,1035,car,2.176507,ok
0031,0004_20230322_084251,imptc_set_01.tar.gz,vrus,000,person,middle,1679474596640035,-4.245381801400365,1.9915170470980352,1.7158836186435173,1.5906948129064469,11,vrus,004,person,3.583051,ok
0032,0004_20230322_084251,imptc_set_01.tar.gz,vrus,001,person,middle,1679474595240035,9.541059137310956,16.57717618532479,1.6773379211457857,0.20356356120770164,11,vehicles,1001,car,11.475622,ok
0033,0004_20230322_084251,imptc_set_01.tar.gz,vrus,002,person,middle,1679474594480035,-0.876966821231089,1.0559911033671974,1.727910966556481,3.189463878358325,11,vrus,005,person,1.136747,ok
0034,0004_20230322_084251,imptc_set_01.tar.gz,vrus,003,person,middle,1679474593880035,-1.4185753011988171,-1.8983286536481931,1.792569194451607,0.6852438329357592,11,vrus,002,person,2.734697,ok
0035,0004_20230322_084251,imptc_set_01.tar.gz,vrus,004,person,middle,1679474593040035,-3.1564305370848063,2.663859392267475,1.649040143901153,0.1210674259191842,11,vrus,000,person,1.397987,ok
0036,0004_20230322_084251,imptc_set_01.tar.gz,vrus,005,person,middle,1679474590840035,-1.6218466144309738,1.408489438950218,1.8087391446217036,0.013737616203740935,12,vrus,002,person,0.792991,ok
0037,0004_20230322_084251,imptc_set_01.tar.gz,vrus,006,person,middle,1679474617280035,33.4426852406119,3.013683827891033,1.706477153079219,5.945394764803274,9,vehicles,1030,car,4.382251,ok
0039,0005_20230322_084431,imptc_set_01.tar.gz,vrus,000,person,middle,1679474689720035,2.3881361672472607,7.325074466553037,1.7706647587170967,5.3214719281015475,9,vrus,006,person,0.696487,ok
0040,0005_20230322_084431,imptc_set_01.tar.gz,vrus,001,person,middle,1679474688880035,0.6320739093324564,4.317266486545898,1.5989041417368925,4.781096371524914,9,vrus,000,person,2.2912,ok
0041,0005_20230322_084431,imptc_set_01.tar.gz,vrus,002,person,middle,1679474687000035,1.6972577699315696,2.5642701948073183,1.590345653171545,6.189318674555239,9,vrus,006,person,1.927408,ok
0042,0005_20230322_084431,imptc_set_01.tar.gz,vrus,004,person,middle,1679474694680035,26.09232769348207,8.980410642067936,1.7455808134066806,0.11662743751994359,9,vehicles,1020,car,7.512016,ok
0043,0005_20230322_084431,imptc_set_01.tar.gz,vrus,005,person,middle,1679474683160035,4.343047479586603,21.908142850347044,1.6394296882874961,5.652858284741571,9,vehicles,1021,car,17.948258,ok
0044,0005_20230322_084431,imptc_set_01.tar.gz,vrus,006,person,middle,1679474693320035,6.72657879258889,10.359459645213727,1.5737751503975306,4.989494650739048,9,vrus,000,person,0.872985,ok
0045,0006_20230322_113007,imptc_set_01.tar.gz,vrus,000,person,middle,1679484644000035,10.917119750441827,16.41691981595088,1.7299165864991,0.29679892955505194,8,vrus,001,person,0.370858,ok
0046,0006_20230322_113007,imptc_set_01.tar.gz,vrus,001,person,middle,1679484652680035,10.525094984110902,16.509356133248957,1.772937362443131,0.13894840208384424,8,vrus,000,person,0.217141,ok
0047,0006_20230322_113007,imptc_set_01.tar.gz,vrus,002,person,middle,1679484649080035,-3.1444740223762273,3.4996171498597657,1.7716121685035329,0.16510897533873195,7,vrus,003,person,1.168327,ok
0048,0006_20230322_113007,imptc_set_01.tar.gz,vrus,003,person,middle,1679484655440035,-2.366154384977743,2.6929294133677693,1.7507543519610425,0.11837658308751892,8,vrus,002,person,1.146583,ok
0049,0006_20230322_113007,imptc_set_01.tar.gz,vrus,004,person,middle,1679484656920035,11.595287107227119,14.65965266854268,1.8090648262696825,1.4359728809338768,8,vrus,000,person,1.768858,ok
0050,0006_20230322_113007,imptc_set_01.tar.gz,vrus,005,person,middle,1679484665360035,7.458205430967836,10.083967844418524,1.5917648929568762,5.718863389582802,14,vrus,000,person,1.082321,ok
0051,0006_20230322_113007,imptc_set_01.tar.gz,vrus,006,person,middle,1679484620200035,4.68710107442789,-5.990005930816749,1.629096511731225,5.2413226086546025,12,vehicles,1035,car,6.305907,ok
